交易所简称,交易品种,中文名,交易时段数量,交易时段1,交易时段2,交易时段3,交易时段4,内盘主力合约,外盘交易所,外盘交易代码,交易所网站交易时段数量,交易时段1,交易时段2,交易时段3,交易时段4,交易时段5,交易时段6,time_1,time_2,time_3,time_4
DCE,B,黄大豆2号,4.0,0900-1015,1030-1130,1330-1500,2100-2330,B1905,CME,ZS,2.0,0800-2045,2130-0220,,,,,09:00,10:30,13:30,None
DCE,C,黄玉米,3.0,0900-1015,1030-1130,1330-1500,,C1901,CME,ZC,2.0,0800-2045,2130-0220,,,,,09:00,10:30,13:30
DCE,I,铁矿石,4.0,0900-1015,1030-1130,1330-1500,2100-2330,I1901,SGX,FE,1.0,0725-2000,,,,,,09:00,10:30,13:30,None
DCE,M,豆粕,4.0,0900-1015,1030-1130,1330-1500,2100-2330,M1901,CME,ZM,2.0,0800-2045,2130-0220,,,,,09:00,10:30,13:30,None
DCE,P,棕榈油,4.0,0900-1015,1030-1130,1330-1500,2100-2330,P1901,BMD,FCPO,2.0,1030-1230,1430-1800,,,,,None,10:30,None,None
DCE,Y,豆油,4.0,0900-1015,1030-1130,1330-1500,2100-2330,Y1901,CME,ZL,2.0,0800-2045,2130-0220,,,,,09:00,10:30,13:30,None
SGE,Ag(T+D)1,白银T+D,3.0,0900-1130,1330-1530,2000-0230,,AG1812,CME,SI,1.0,0600-0500,,,,,,09:00,13:30
SGE,Ag(T+D)2,白银T+D,3.0,0900-1130,1330-1530,2000-0230,,AG1812,ICE,ZI,1.0,0800-0600,,,,,,09:00,13:30
SGE,Ag(T+D)3,白银T+D,3.0,0900-1130,1330-1530,2000-0230,,AG1812,LME,AG,1.0,0800-0300 ,,,,,,09:00,13:30
SGE,Ag(T+D)4,白银T+D,3.0,0900-1130,1330-1530,2000-0230,,AG1812,LME,AG,,0000-2359,,,,,,09:00,13:30
SGE,Au(T+D)1,黄金T+D,3.0,0900-1130,1330-1530,2000-0230,,AU1812,CME,GC,1.0,0600-0500,,,,,,09:00,13:30
SGE,Au(T+D)2,黄金T+D,3.0,0900-1130,1330-1530,2000-0230,,AU1812,ICE,ZG,1.0,0800-0600,,,,,,09:00,13:30
SGE,Au(T+D)3,黄金T+D,3.0,0900-1130,1330-1530,2000-0230,,AU1812,LME,AU,1.0,0800-0300 ,,,,,,09:00,13:30
SGE,Au(T+D)4,黄金T+D,3.0,0900-1130,1330-1530,2000-0230,,AU1812,LME,AU,,0000-2359,,,,,,09:00,13:30
EXBXG,NI1,镍,2.0,0900-1130,1300-1500,,,NI1811,LME,NI,1.0,0800-0200 ,,,,,,09:00
EXBXG,NI2,镍,2.0,0900-1130,1300-1500,,,NI1811,LME,NI,,0000-2359,,,,,,09:00
EXBXG,NI3,镍,2.0,0900-1130,1300-1500,,,NI1811,LME,NI,6.0,1915-1920 ,2000-2005 ,2025-2035 ,2225-2230 ,2305-2310 ,2315-0000 ,None
